what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1466974258804
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1466974272014
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1466974274712
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466974279892
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1466974299272
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1466974311654
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974425152
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1466974425168
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974474169
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1466974474200
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1466974474316
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1466974488264
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974491385
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1466974491401
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974533580
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1466974533611
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974534868
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974538849
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1466974540677
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974550590
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974551909
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1466974551924
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1466974551924
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1466974551924
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466974552160
